"observation","entity","cooks_distance","above_cutoff","model"
10,"Bahrain",0.0813076736235986,TRUE,"CS_M1_bivariate"
31,"China",0.0813076736235986,TRUE,"CS_M1_bivariate"
51,"Eswatini",0.0813076736235986,TRUE,"CS_M1_bivariate"
68,"Hong Kong",0.0813076736235986,TRUE,"CS_M1_bivariate"
128,"Qatar",0.0813076736235986,TRUE,"CS_M1_bivariate"
133,"Saudi Arabia",0.0813076736235986,TRUE,"CS_M1_bivariate"
164,"United Arab Emirates",0.0813076736235986,TRUE,"CS_M1_bivariate"
76,"Israel",0.0217971814015838,FALSE,"CS_M1_bivariate"
84,"Kuwait",0.0178151094396958,FALSE,"CS_M1_bivariate"
138,"Singapore",0.0178151094396958,FALSE,"CS_M1_bivariate"
40,"Eswatini",0.248930349509487,TRUE,"CS_M2_controls"
23,"China",0.109728553115716,TRUE,"CS_M2_controls"
26,"Congo",0.0946127197381632,TRUE,"CS_M2_controls"
50,"Guatemala",0.0919125846345317,TRUE,"CS_M2_controls"
19,"Cape Verde",0.0578309456347064,TRUE,"CS_M2_controls"
35,"East Timor",0.0431410951486895,TRUE,"CS_M2_controls"
22,"Chile",0.0342212442973496,TRUE,"CS_M2_controls"
102,"Qatar",0.0340695378302748,TRUE,"CS_M2_controls"
66,"Kosovo",0.0333891145332801,TRUE,"CS_M2_controls"
49,"Greece",0.0254777273526281,FALSE,"CS_M2_controls"
