"term","estimate","std.error","statistic","p.value","model"
"(Intercept)",7.64223573223522,1.16457600202877,6.56224730624876,0.0000000005999246598954,"CS_M1_bivariate_HC1"
"autocracy_score",4.18590611778708,0.76865281438016,5.44576958475406,0.000000175857609991821,"CS_M1_bivariate_HC1"
"(Intercept)",35.8084476348578,9.09338850790816,3.93785524545845,0.000133825310391571,"CS_M2_controls_HC1"
"autocracy_score",0.948190623190979,1.17114273461,0.80962857486943,0.419644576415448,"CS_M2_controls_HC1"
"log_gdp_pc",-2.59148603226741,0.960061025094313,-2.69929302880808,0.00787995953176004,"CS_M2_controls_HC1"
"cpi",-0.20683668785942,0.060524936525978,-3.41737967408927,0.000846316906512772,"CS_M2_controls_HC1"
"extreme_poverty",-0.111331900239219,0.0458716519999545,-2.42703053814868,0.0166040511618606,"CS_M2_controls_HC1"
"gini",29.8879778710133,8.62010540973634,3.46724041648668,0.000714941835244968,"CS_M2_controls_HC1"
"(Intercept)",9.71659180423001,2.53261530987526,3.83658416907722,0.000237359510770598,"CS_M2_controls_positive_aid_HC1"
"autocracy_score",1.08349482889997,0.396800634533095,2.73057735952184,0.00766883870997115,"CS_M2_controls_positive_aid_HC1"
"log_gdp_pc",0.812260908446879,0.276097375322217,2.94193636393297,0.00419081938074146,"CS_M2_controls_positive_aid_HC1"
"cpi",-0.00945016194553756,0.0256977257469202,-0.367743123987154,0.713968293197268,"CS_M2_controls_positive_aid_HC1"
"extreme_poverty",0.0218019584797873,0.0134488406714681,1.62110318743239,0.10865647575927,"CS_M2_controls_positive_aid_HC1"
"gini",1.00801622439557,3.31428116817404,0.304143243510906,0.761753460506435,"CS_M2_controls_positive_aid_HC1"
